코드	파일수	기정독동일계열	원료명
611379	3	0	MASK PACK HP-317937
611380	3	0	MASK SHEET 86124
611385	4	0	ORANGE BLOSSOM-309W
611389	4	0	POME-802W
611391	3	0	PF-MASK PACK 7P01892
611394	4	0	PEONY-417W
611413	3	0	RED ROSE-419W
611420	3	0	SAFRA 66428
611424	4	0	SAFRA 66304
611426	3	0	SENSATION-204W
611428	3	0	SPIDER-545W
611431	4	0	SKIN CARE GS 51260
611432	4	0	SAFRA 66330
611434	3	0	SKIN CARE GS 51256
611442	4	0	STEM-811W
611473	4	0	SAFRA 67250R
611483	3	0	WATERMELON-78W
611485	4	0	WILD GINSENG fra. BP 1507224
611515	3	0	SKIN CARE RA12604
611536	4	0	SKIN CARE EA 09620
611604	3	0	Camelina Seed Oil, CP
611687	4	0	NCOS Complex II(H)
611690	4	0	커먼자스민꽃가루3000
611692	4	0	유기농비누풀뿌리추출물
611786	4	0	Deep Clean C CSN037854
611814	3	0	KXCYW0013ACSN037155
611839	3	0	LNB LF-750B
611872	3	0	SKIN CARE NA11570
611960	4	0	FRAG-54987
611970	4	0	[PF]ECLARPE 7074
611981	3	0	Red A33 Base
611993	3	0	Q70E
610038	2	0	아쿠아 더블 콤플렉스
610039	2	0	아쿠아-마스크 COMPLEX
610051	2	0	아쿠아-마스크COMPLEX(H)
610093	2	0	버섯콜라겐-TF
610095	2	0	밤껍질추출물
610127	2	0	BLEMISH MINUS COMPLEX(H)
610128	2	0	BRIGHTENING DOUBLE COMPLEX(H)
610132	1	0	BABY CODE-CH
610179	2	0	COLOSTRUM SOLUTION 0.1％(초유 추출물)
610181	1	0	CH-7 MUSHROOM
610207	2	0	COCONUT EXTRACT SOLUTION(p)
610216	2	0	CALENDULA EXTRACT SOLUTION(P)
610217	2	0	CHAMOMILLA RECUTITA FLOWER WATER(P)
610218	2	0	콜라겐-마스크COMPLEX
610219	2	0	콜라겐-앰플COMPLEX
610220	2	0	CHAMAECYPARIS OBTUSA WATER(P)
610312	2	0	DRAGONS BLOOD
